Weight_Kilograms_Clean,Line_Item_Quantity,Line_Item_Value,Fulfill_Via,Shipment_Mode,Country,Dosage_Form,Sub_Classification,Brand,Freight_Cost_USD_Clean
2907.0,10270.0,277290.0,0.0,0.0,2.0,0.0,0.0,4.0,18864.37
9000.0,9000.0,288000.0,0.0,0.0,12.0,0.0,0.0,3.0,55746.59
2052.0,6040.0,193280.0,0.0,0.0,4.0,0.0,0.0,3.0,24689.0
79.0,289.0,7803.0,0.0,0.0,0.0,0.0,0.0,4.0,1104.69
682.0,3000.0,215970.0,0.0,0.0,12.0,0.0,0.0,2.0,5298.9
255.0,1116.0,78120.0,0.0,0.0,0.0,0.0,0.0,2.0,5175.72
256.0,1116.0,78120.0,0.0,0.0,0.0,0.0,0.0,2.0,7118.12
832.0,832.0,26624.0,0.0,0.0,8.0,0.0,0.0,3.0,3740.04
49.0,213.0,15333.87,0.0,0.0,8.0,0.0,0.0,2.0,959.46
39.0,10.0,3500.0,0.0,0.0,11.0,0.0,0.0,0.0,604.0
507.0,10080.0,29232.0,0.0,0.0,1.0,2.0,2.0,1.0,4159.45
522.0,6720.0,77145.6,0.0,0.0,1.0,2.0,2.0,1.0,3796.05
81.0,400.0,2800.0,0.0,0.0,1.0,2.0,1.0,0.0,3013.09
502.0,10780.0,15631.0,0.0,0.0,1.0,3.0,2.0,1.0,7575.6
257.0,1123.0,78610.0,0.0,0.0,6.0,0.0,0.0,2.0,2851.72
234.0,340.0,47260.0,0.0,0.0,5.0,0.0,0.0,0.0,5446.06
5311.0,47879.0,45796.8,0.0,0.0,5.0,2.0,2.0,1.0,30408.04
6768.0,61021.0,45796.8,0.0,0.0,5.0,2.0,2.0,1.0,38120.96
2719.0,4300.0,37023.0,0.0,0.0,1.0,2.0,2.0,1.0,18614.72
1114.0,18030.0,26143.5,0.0,0.0,1.0,3.0,2.0,1.0,5822.44
889.0,3000.0,30.0,0.0,0.0,4.0,0.0,3.0,1.0,7303.52
49.0,213.0,15333.87,0.0,0.0,8.0,0.0,0.0,2.0,1047.39
1927.0,6502.0,65.02,0.0,0.0,2.0,0.0,3.0,1.0,24870.05
1566.0,6875.0,45796.8,0.0,0.0,2.0,0.0,0.0,2.0,19992.75
113.0,434.0,35674.8,0.0,0.0,1.0,2.0,2.0,5.0,2709.98
159.0,1100.0,12540.0,0.0,0.0,1.0,2.0,2.0,1.0,2568.6
613.0,8400.0,85596.0,0.0,0.0,1.0,2.0,2.0,1.0,3247.73
323.0,3648.0,26448.0,0.0,0.0,1.0,2.0,2.0,1.0,2335.19
34.0,108.0,4050.0,0.0,0.0,8.0,0.0,5.0,0.0,648.27
2147.0,5958.0,160866.0,0.0,0.0,7.0,0.0,0.0,4.0,11066.17
1445.0,3982.0,107514.0,0.0,0.0,7.0,0.0,0.0,4.0,7303.25
5057.0,6998.0,160954.0,0.0,0.0,7.0,0.0,0.0,9.0,44347.71
2509.0,3470.0,79810.0,0.0,0.0,7.0,0.0,0.0,9.0,19882.25
2535.0,3510.0,80730.0,0.0,0.0,7.0,0.0,0.0,9.0,22433.91
581.0,6000.0,17400.0,0.0,0.0,1.0,2.0,2.0,1.0,2653.27
1723.0,5751.0,460080.0,0.0,0.0,2.0,0.0,0.0,2.0,22451.67
3.0,3.0,225.0,0.0,0.0,10.0,0.0,0.0,0.0,963.34
28.0,100.0,2700.0,0.0,0.0,8.0,0.0,0.0,4.0,692.38
22.0,68.0,2176.0,0.0,0.0,10.0,0.0,0.0,3.0,1003.52
2228.0,9000.0,21600.0,0.0,0.0,1.0,2.0,2.0,1.0,9809.7
3509.0,700.0,7805.0,0.0,0.0,1.0,2.0,2.0,1.0,12835.2
2067.0,25000.0,45796.8,0.0,0.0,2.0,2.0,2.0,0.0,7933.38
382.0,1680.0,117600.0,0.0,0.0,6.0,0.0,0.0,2.0,3241.06
187.0,2100.0,10500.0,0.0,0.0,6.0,3.0,1.0,1.0,1903.54
2655.0,9000.0,45796.8,0.0,0.0,12.0,0.0,0.0,2.0,25052.69
3000.0,60.0,1100.4,0.0,0.0,14.0,3.0,2.0,0.0,428.91
719.0,7840.0,71344.0,0.0,0.0,5.0,2.0,2.0,1.0,853.88
130.0,425.0,38250.0,0.0,0.0,8.0,0.0,0.0,2.0,1859.79
87.0,276.0,24840.0,0.0,0.0,8.0,0.0,0.0,2.0,1205.7
69.0,73.0,3000.3,0.0,0.0,2.0,2.0,2.0,5.0,1332.43
2.0,5.0,160.0,0.0,0.0,13.0,0.0,0.0,3.0,12561.4
4995.0,4995.0,159840.0,0.0,0.0,13.0,0.0,0.0,3.0,275.0
309.0,2040.0,83844.0,0.0,0.0,2.0,2.0,2.0,5.0,3777.93
3393.0,26932.0,317528.28,0.0,0.0,5.0,2.0,2.0,1.0,30661.5
1073.0,1000.0,110000.0,0.0,0.0,0.0,0.0,0.0,0.0,8114.11
195.0,800.0,56000.0,0.0,0.0,10.0,0.0,0.0,2.0,2008.54
30.0,150.0,1950.0,0.0,0.0,1.0,3.0,2.0,1.0,4111.71
158.0,140.0,15400.0,0.0,0.0,0.0,0.0,0.0,0.0,4318.21
251.0,2000.0,3800.0,0.0,0.0,10.0,2.0,1.0,1.0,1484.75
590.0,2000.0,144000.0,0.0,0.0,4.0,0.0,0.0,2.0,5962.58
589.0,2733.0,224625.27,0.0,0.0,8.0,2.0,2.0,5.0,314.0
107.0,100.0,7535.0,0.0,0.0,0.0,0.0,0.0,0.0,1845.74
29.0,45.0,7875.0,0.0,0.0,6.0,0.0,0.0,0.0,854.34
61.0,1000.0,17000.0,0.0,0.0,1.0,2.0,2.0,0.0,7682.69
7590.0,35000.0,152250.0,0.0,0.0,1.0,2.0,2.0,1.0,45450.08
7590.0,20000.0,338000.0,0.0,0.0,1.0,2.0,2.0,1.0,45450.08
504.0,416.0,1809.6,0.0,0.0,2.0,1.0,1.0,1.0,5920.42
504.0,486.0,2041.2,0.0,0.0,2.0,2.0,2.0,1.0,5920.42
316.0,906.0,19071.3,0.0,0.0,4.0,1.0,1.0,1.0,3850.8
3217.0,38780.0,432009.2,0.0,0.0,4.0,2.0,2.0,1.0,14364.29
479.0,4632.0,16906.8,0.0,0.0,2.0,2.0,2.0,1.0,4861.14
479.0,166.0,356.9,0.0,0.0,2.0,3.0,2.0,1.0,4861.14
1313.0,60784.0,45796.8,0.0,0.0,4.0,2.0,2.0,1.0,49824.57
3822.0,1000.0,5050.0,0.0,0.0,1.0,1.0,1.0,1.0,25124.12
2575.0,1000.0,2440.0,0.0,0.0,1.0,1.0,1.0,1.0,18772.94
60.0,25.0,10000.0,0.0,0.0,6.0,0.0,0.0,0.0,1498.02
2336.0,25000.0,187500.0,0.0,0.0,1.0,2.0,2.0,1.0,21150.56
120.0,50.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,3004.62
3045.0,10000.0,270000.0,0.0,0.0,2.0,0.0,0.0,4.0,28118.58
3276.0,11500.0,310500.0,0.0,0.0,2.0,0.0,0.0,4.0,43664.71
2603.0,8000.0,216000.0,0.0,0.0,2.0,0.0,0.0,4.0,22838.29
2895.0,22500.0,277425.0,0.0,0.0,1.0,2.0,2.0,1.0,18045.24
960.0,500.0,950.0,0.0,0.0,1.0,1.0,1.0,1.0,13762.41
161.0,800.0,5600.0,0.0,0.0,1.0,2.0,1.0,0.0,2514.05
340.0,200.0,16440.0,0.0,0.0,1.0,1.0,1.0,7.0,2326.1
3336.0,10000.0,200000.0,0.0,0.0,3.0,0.0,0.0,6.0,27791.62
1456.0,5000.0,100000.0,0.0,0.0,3.0,0.0,0.0,6.0,14505.37
2318.0,35065.0,54350.75,0.0,0.0,7.0,3.0,2.0,1.0,6755.81
732.0,2220.0,71040.0,0.0,0.0,8.0,0.0,0.0,3.0,6524.19
2300.0,4500.0,144000.0,0.0,0.0,5.0,0.0,0.0,3.0,38425.29
83.0,400.0,600.0,0.0,0.0,1.0,3.0,2.0,1.0,2426.05
2985.0,9048.0,244296.0,0.0,0.0,2.0,0.0,0.0,4.0,20635.3
861.0,3000.0,239970.0,0.0,0.0,2.0,0.0,0.0,2.0,12770.05
550.0,3199.0,255888.01,0.0,0.0,2.0,0.0,0.0,2.0,8213.59
455.0,2000.0,143980.0,0.0,0.0,4.0,0.0,0.0,2.0,4113.16
16.0,70.0,5039.3,0.0,0.0,0.0,0.0,0.0,2.0,515.48
255.0,1116.0,78120.0,0.0,0.0,0.0,0.0,0.0,2.0,5303.05
194.0,850.0,61191.5,0.0,0.0,14.0,0.0,0.0,2.0,2642.45
137.0,520.0,13000.0,0.0,0.0,1.0,2.0,2.0,1.0,5260.46
121.0,2576.0,3889.76,0.0,0.0,1.0,3.0,2.0,1.0,2789.74
114.0,2464.0,3720.64,0.0,0.0,1.0,3.0,2.0,1.0,2879.96
25.0,100.0,7199.0,0.0,0.0,11.0,0.0,0.0,2.0,641.04
25.0,100.0,7199.0,0.0,0.0,11.0,0.0,0.0,2.0,1038.39
257.0,1123.0,78610.0,0.0,0.0,6.0,0.0,0.0,2.0,2873.56
3000.0,9000.0,288000.0,0.0,0.0,4.0,0.0,0.0,3.0,34902.96
120.0,2016.0,24917.76,0.0,0.0,1.0,2.0,2.0,1.0,5921.97
3508.0,12315.0,332505.0,0.0,0.0,2.0,0.0,0.0,4.0,29954.15
2.0,50.0,1183.5,0.0,0.0,14.0,3.0,2.0,0.0,330.0
128.0,1440.0,10440.0,0.0,0.0,1.0,2.0,2.0,1.0,2147.61
1053.0,4500.0,45.0,0.0,0.0,4.0,0.0,3.0,1.0,11062.05
4913.0,6998.0,160954.0,0.0,0.0,7.0,0.0,0.0,9.0,46117.09
1708.0,50000.0,19500.0,0.0,0.0,0.0,2.0,4.0,1.0,12830.91
337.0,1000.0,80000.0,0.0,0.0,12.0,0.0,0.0,2.0,3499.18
296.0,1000.0,71990.0,0.0,0.0,12.0,0.0,0.0,2.0,2648.82
963.0,862.0,65512.0,0.0,0.0,0.0,0.0,0.0,0.0,25080.52
493.0,5900.0,297360.0,0.0,0.0,2.0,2.0,2.0,0.0,1727.2
1624.0,5500.0,395945.0,0.0,0.0,4.0,0.0,0.0,2.0,12646.15
1044.0,6156.0,14774.4,0.0,0.0,1.0,2.0,2.0,1.0,3854.23
46.0,150.0,10800.0,0.0,0.0,10.0,0.0,0.0,2.0,2946.64
2.0,50.0,917.0,0.0,0.0,14.0,3.0,2.0,0.0,378.0
2535.0,3510.0,80730.0,0.0,0.0,7.0,0.0,0.0,9.0,20083.74
284.0,839.0,26848.0,0.0,0.0,3.0,0.0,0.0,3.0,3261.37
1584.0,5259.0,420720.0,0.0,0.0,2.0,0.0,0.0,2.0,22775.45
3.0,7.0,490.0,0.0,0.0,10.0,0.0,0.0,2.0,963.34
355.0,1062.0,33984.0,0.0,0.0,8.0,0.0,0.0,3.0,4457.29
64.0,213.0,15336.0,0.0,0.0,8.0,0.0,0.0,2.0,1083.36
18.0,336.0,2520.0,0.0,0.0,1.0,2.0,2.0,1.0,2525.73
2228.0,300.0,3345.0,0.0,0.0,1.0,2.0,2.0,1.0,9809.7
88.0,386.0,27020.0,0.0,0.0,5.0,0.0,0.0,2.0,3936.25
43.0,80.0,560.0,0.0,0.0,6.0,2.0,1.0,0.0,260.0
362.0,1470.0,60417.0,0.0,0.0,6.0,2.0,2.0,5.0,2490.67
48.0,20.0,7000.0,0.0,0.0,11.0,0.0,0.0,0.0,684.42
