Weight_Kilograms_Clean,Line_Item_Quantity,Line_Item_Value,Fulfill_Via,Shipment_Mode,Country,Dosage_Form,Sub_Classification,Brand,Freight_Cost_USD_Clean
3509.0,5200,15080.0,0,0,1,2,2,1,12835.2
94.0,300,6000.0,0,0,4,0,0,6,1205.43
33.0,80,6800.0,0,0,15,0,0,0,812.0
2724.0,10680,438948.0,0,0,3,2,2,5,12620.12
48.0,20,7000.0,0,0,11,0,0,0,1119.99
2268.0,28034,195677.32,0,0,5,2,2,1,19023.36
1250.0,2000,70420.0,0,0,2,2,4,0,17170.07
534.0,476,52360.0,0,0,0,0,0,0,9471.52
20.0,18,1980.0,0,0,0,0,0,0,2199.43
2261.0,6760,216320.0,0,0,10,0,0,3,17643.81
424.0,820,73074.13,0,0,3,3,2,0,3310.89
4.0,4,300.0,0,0,10,0,0,0,133.25
11.0,31,734.7,0,0,0,0,0,6,515.32
13.0,19,551.0,0,0,0,0,0,0,859.53
389.0,198,35802.36,0,0,1,3,2,7,7286.16
504.0,416,2579.2,0,0,2,1,1,1,5920.42
1498.0,16683,65897.85,0,0,0,2,2,1,20257.08
1498.0,9321,29361.15,0,0,0,3,2,1,20257.08
37.0,602,1414.7,0,0,8,3,2,1,569.52
369.0,6349,21269.15,0,0,14,2,2,1,2623.49
1313.0,33333,120332.13,0,0,4,2,2,1,49824.57
4300.0,98400,329640.0,0,0,1,2,2,1,27923.26
356.0,1700,17850.0,0,0,1,2,1,1,14982.1
3822.0,700,30835.0,0,0,1,2,2,1,25124.12
3822.0,38300,45796.8,0,0,1,2,2,1,25124.12
304.0,1320,238682.4,0,0,1,2,2,5,13453.12
1313.0,230,18400.0,0,0,8,0,0,2,801.54
14.0,40,1600.0,0,0,2,0,0,3,713.58
488.0,700,97300.0,0,0,3,0,0,0,3114.08
337.0,1000,32000.0,0,0,8,0,0,3,5240.47
515.0,1500,48000.0,0,0,8,0,0,3,8576.8
69.0,300,21597.0,0,0,8,0,0,2,1398.6
24.0,300,3.0,0,0,6,0,3,1,240.0
750.0,2000,47000.0,0,0,0,0,0,6,7961.7
405.0,1400,23100.0,0,0,5,0,0,0,3616.95
249.0,1000,82200.0,0,0,1,2,2,5,3120.92
340.0,1500,107985.0,0,0,5,0,0,2,9479.89
125.0,600,900.0,0,0,1,3,2,1,2429.85
1.0,2,278.0,0,0,6,0,0,0,897.52
155.0,450,14400.0,0,0,11,0,0,3,1625.08
2093.0,7301,197127.0,0,0,2,0,0,4,16036.94
