Unit_of_Measure_(Per_Pack),Line_Item_Quantity,Line_Item_Value,Pack_Price,Unit_Price,Weight_Kilograms_Clean,shipment_mode_encoded,manufacturing_site_encoded,country_encoded,Dosage_Form_encoded,First_Line_Designation_encoded,fulfill_via_encoded,Sub_Classification_encoded,brand_encoded
60.0,10560.0,72864.0,6.9,0.12,924.0,1,4,11,1,1,1,1,2
240.0,20000.0,185600.0,9.28,0.04,7656.0,4,10,8,3,1,1,2,1
90.0,710.0,6603.0,9.3,0.1,1630.0,1,5,13,1,0,0,2,2
30.0,2200.0,13684.0,6.22,0.21,836.0,3,1,4,1,0,0,1,2
60.0,3500.0,39025.0,11.15,0.19,1815.0,1,1,11,1,0,1,1,2
30.0,14000.0,49700.0,3.55,0.12,2356.0,1,3,11,1,0,1,1,2
20.0,167.0,5344.0,32.0,1.6,61.0,1,7,15,5,1,1,3,4
60.0,5900.0,18880.0,3.2,0.05,12810.0,2,4,7,1,0,0,1,2
60.0,20000.0,130400.0,6.52,0.11,1790.0,2,23,7,1,1,0,1,2
30.0,92000.0,1058000.0,11.5,0.38,7101.0,2,2,2,1,1,0,1,2
60.0,50000.0,421000.0,8.42,0.14,4603.0,4,1,8,1,1,1,1,2
30.0,1030.0,12071.6,11.72,0.39,251.0,1,1,4,1,1,0,1,2
30.0,747.0,12699.0,17.0,0.57,84.0,1,29,6,1,1,0,1,1
30.0,38760.0,248839.2,6.42,0.21,2169.0,1,2,14,1,1,0,1,2
30.0,60000.0,660000.0,11.0,0.37,5144.0,2,1,2,1,1,0,1,2
30.0,1240.0,5009.6,4.04,0.13,2045.0,1,2,13,1,0,0,1,2
100.0,3500.0,271950.0,77.7,0.78,795.0,1,6,9,5,1,1,3,3
30.0,5900.0,28025.0,4.75,0.16,12791.0,2,1,7,1,0,0,1,2
30.0,100.0,224.0,2.24,0.07,118.0,1,1,4,4,1,0,2,2
60.0,7445.0,16676.8,2.24,0.04,574.0,1,4,12,1,1,1,2,2
60.0,89520.0,768081.6,8.58,0.14,10238.0,2,1,9,1,1,0,1,2
60.0,75.0,255.0,3.4,0.06,10.0,1,4,12,1,1,0,1,2
60.0,13380.0,20739.0,1.55,0.03,925.0,1,1,4,4,1,0,1,2
60.0,1953.0,14452.2,7.4,0.12,283.0,1,4,12,1,1,0,1,2
30.0,3024.0,49140.0,16.25,0.54,275.0,1,1,1,1,1,0,1,2
100.0,2127.0,170160.0,80.0,0.8,881.0,1,6,2,5,1,1,3,3
60.0,4893.0,11938.92,2.44,0.04,235.0,1,1,15,1,1,0,1,2
240.0,40126.0,78245.7,1.95,0.01,12360.0,2,1,2,3,1,0,2,2
1.0,45.0,225.0,5.0,5.0,39.0,1,6,17,5,0,1,4,3
120.0,13642.0,264381.96,19.38,0.16,12408.0,2,1,6,1,0,0,1,2
300.0,40.0,1232.8,30.82,0.1,61.0,1,11,10,3,1,1,2,8
30.0,27186.0,88082.64,3.24,0.11,2321.0,1,23,11,1,1,1,1,2
100.0,213.0,18957.0,89.0,0.89,97.0,1,9,18,5,1,1,3,3
100.0,442.0,31819.58,71.99,0.72,100.0,1,9,19,5,1,1,3,3
60.0,2088.0,8352.0,4.0,0.07,102.0,1,1,7,1,1,0,2,2
60.0,9888.0,64173.12,6.49,0.11,858.0,4,2,12,1,1,1,1,2
30.0,2559.0,22570.38,8.82,0.29,338.0,2,2,12,1,1,0,1,2
60.0,5320.0,34101.2,6.41,0.11,273.0,2,1,6,1,1,0,1,2
100.0,6502.0,520094.98,79.99,0.8,1927.0,1,9,4,5,0,1,3,3
60.0,3345.0,26760.0,8.0,0.13,21063.0,2,14,7,1,1,0,1,2
60.0,429.0,5255.25,12.25,0.2,117.0,1,3,11,1,0,1,1,2
60.0,9995.0,131434.25,13.15,0.22,6798.0,1,1,1,1,0,0,1,2
60.0,13709.0,74439.87,5.43,0.09,797.0,2,1,2,1,1,0,1,2
30.0,305.0,7777.5,25.5,0.85,34.0,1,12,22,5,1,1,3,5
100.0,3000.0,240000.0,80.0,0.8,1428.0,1,6,1,5,1,1,3,3
60.0,8500.0,14620.0,1.72,0.03,1292.0,1,18,11,1,0,1,1,2
120.0,306.0,8968.86,29.31,0.24,3637.0,1,2,13,1,0,0,1,2
240.0,20000.0,185600.0,9.28,0.04,7670.0,4,10,8,3,1,1,2,1
30.0,39015.0,399903.75,10.25,0.34,17826.0,4,3,10,1,0,1,1,2
25.0,400.0,8000.0,20.0,0.8,134.0,1,13,2,5,1,1,3,7
30.0,125000.0,888750.0,7.11,0.24,33909.0,2,1,2,1,0,0,1,2
20.0,125.0,4000.0,32.0,1.6,40.0,1,7,17,5,1,1,3,4
30.0,36.0,396.0,11.0,0.37,6.0,2,1,7,4,0,0,2,2
60.0,16974.0,125607.6,7.4,0.12,1732.0,1,4,2,1,1,0,1,2
30.0,1844.0,6306.48,3.42,0.11,3946.0,1,10,6,4,0,0,2,1
30.0,5000.0,67450.0,13.49,0.45,517.0,2,2,6,1,1,0,1,2
30.0,11574.0,90508.68,7.82,0.26,793.0,1,4,8,1,1,1,1,2
100.0,6502.0,65.02,0.01,0.0,1927.0,1,9,4,5,1,1,4,2
100.0,120.0,8658.0,72.15,0.72,22.0,1,6,20,5,1,1,3,3
100.0,25.0,200.0,8.0,0.08,2.0,1,9,18,5,1,1,4,3
60.0,602.0,1414.7,2.35,0.04,37.0,1,1,19,4,1,1,1,2
60.0,268.0,9594.4,35.8,0.6,151.0,1,1,1,1,1,0,1,2
100.0,850.0,68000.0,80.0,0.8,46946.48571682304,1,25,1,5,1,1,3,3
60.0,20697.0,177580.26,8.58,0.14,5426.0,1,2,13,1,0,0,1,2
60.0,1370.0,10549.0,7.7,0.13,142.0,1,4,4,1,1,0,1,2
30.0,80000.0,266400.0,3.33,0.11,4847.0,3,5,4,1,1,0,1,2
60.0,4319.0,11790.87,2.73,0.05,409.0,1,1,1,1,1,0,1,2
20.0,500.0,16000.0,32.0,1.6,163.0,1,7,3,5,1,0,3,4
60.0,9300.0,106578.0,11.46,0.19,1784.0,1,1,1,1,0,0,1,2
60.0,619.0,1423.7,2.3,0.04,107.0,1,4,10,1,0,0,2,2
60.0,210.0,1438.5,6.85,0.11,32.0,1,8,12,1,1,1,1,9
240.0,1944.0,3596.4,1.85,0.01,682.0,1,1,10,3,1,0,2,2
60.0,98396.0,700579.52,7.12,0.12,7426.0,1,5,6,1,1,0,1,2
120.0,1400.0,115080.0,82.2,0.68,209.0,1,8,11,1,1,1,1,6
60.0,7150.0,21092.5,2.95,0.05,7191.0,2,5,7,1,0,0,1,2
30.0,1250.0,11250.0,9.0,0.3,1787.0,1,2,3,1,1,0,1,2
120.0,993.0,40812.3,41.1,0.34,217.0,1,11,1,1,1,0,1,6
90.0,1785.0,17974.95,10.07,0.11,168.0,1,1,1,4,1,0,2,2
60.0,330.0,2547.6,7.72,0.13,71.0,1,1,19,1,1,0,2,2
60.0,880.0,2912.8,3.31,0.06,226.0,1,22,4,1,1,0,1,2
20.0,625.0,20000.0,32.0,1.6,200.0,1,7,5,5,1,1,3,4
100.0,4817.0,385360.0,80.0,0.8,2305.0,1,9,4,5,1,1,3,3
60.0,91000.0,205660.0,2.26,0.04,20226.0,2,3,7,1,0,0,1,2
