Pack_Price,Unit_Price,Weight_Kilograms_Clean,Unit_of_Measure_(Per_Pack),Line_Item_Quantity,Fulfill_Via,Shipment_Mode,Country,Sub_Classification,Dosage_Form,First_Line_Designation,Freight_Cost_USD_Clean
7.71,0.13,6.0,60,105,From RDC,Air,Uganda,Adult,Tablet,Yes,1053.86
1.93,0.01,411.0,240,316,From RDC,Air,Guyana,Pediatric,Oral,No,3380.86
2.25,0.04,5551.0,60,58234,Direct Drop,Air,Rwanda,Adult,Tablet,Yes,49069.74
4.42,0.05,71.0,90,298,Direct Drop,Air,Vietnam,Pediatric,Capsule,No,990.04
5.43,0.09,1007.0,60,18180,Direct Drop,Air,Cameroon,Adult,Tablet,Yes,11067.86
1.99,0.03,152.0,60,1766,From RDC,Truck,Rwanda,Pediatric,Tablet,Yes,1330.99
7.72,0.13,526.0,60,2500,From RDC,Truck,Zambia,Pediatric,Tablet,Yes,4964.27
2.26,0.04,4844.0,60,57227,From RDC,Air Charter,Nigeria,Adult,Tablet,Yes,21591.1
7.02,0.12,199.0,60,726,From RDC,Air,Guyana,Adult,Tablet,Yes,3127.35
8.76,0.15,907.0,60,3360,From RDC,Air,Uganda,Adult,Tablet,No,9044.65
3.4,0.11,4668.0,30,54383,Direct Drop,Air,Uganda,Adult,Tablet,Yes,20869.6
3.6,0.06,1248.0,60,115000,Direct Drop,Ocean,Tanzania,Pediatric,Tablet,Yes,28270.78
7.0,0.23,111.0,30,2000,Direct Drop,Air,Dominican Republic,Adult,Tablet,Yes,1254.61
8.58,0.89,4203.0,100,8657,Direct Drop,Air,Kenya,HIV test,Test kit,Yes,44128.81
2.1,0.01,546.0,240,500,Direct Drop,Air,Vietnam,Pediatric,Oral,No,1340.23
8.58,0.55,68.0,120,388,Direct Drop,Air,Uganda,Adult,Tablet,Yes,1571.76
8.58,0.89,1231.0,100,2586,Direct Drop,Air,Nigeria,HIV test,Test kit,Yes,28132.96
7.2,0.12,7910.0,60,125009,From RDC,Truck,Mozambique,Adult,Tablet,Yes,1012.43
30.82,0.1,261.0,300,268,Direct Drop,Air,Tanzania,Pediatric,Oral,Yes,2569.33
2.33,0.04,181.0,60,3357,From RDC,Truck,Mozambique,Adult,Tablet,Yes,315.51
3.33,0.11,2045.0,30,2827,From RDC,Air,"Congo, DRC",Adult,Tablet,No,16083.32
9.45,0.16,4585.0,60,50000,From RDC,Truck,Zambia,Adult,Tablet,Yes,2938.92
13.69,0.46,1230.0,30,30114,From RDC,Truck,Zambia,Adult,Tablet,Yes,6923.53
1.95,0.01,1248.0,240,29504,From RDC,Truck,Tanzania,Pediatric,Oral,Yes,3853.89
40.25,0.07,1295.0,540,30,Direct Drop,Air,Nigeria,ACT,Tablet,Yes,8423.76
2.33,0.04,1084.0,60,21678,From RDC,Truck,Zambia,Adult,Tablet,Yes,4471.07
2.25,0.04,2520.0,60,26441,Direct Drop,Air,Rwanda,Adult,Tablet,Yes,25593.87
2.16,0.04,44.0,60,876,From RDC,Truck,Zambia,Adult,Tablet,Yes,3951.02
8.55,0.14,1248.0,60,4399,From RDC,Air,Uganda,Adult,Tablet,No,132890.27
3.9,0.06,85.0,60,1152,From RDC,Air,Nigeria,Adult,Tablet,Yes,1266.05
4.22,0.14,726.0,30,10944,From RDC,Air Charter,Nigeria,Adult,Tablet,Yes,15322.73
