Unit_of_Measure_(Per_Pack),Line_Item_Quantity,Pack_Price,Unit_Price,Weight_Kilograms_Clean,shipment_mode_encoded,manufacturing_site_encoded,country_encoded,Dosage_Form_encoded,First_Line_Designation_encoded,fulfill_via_encoded,Sub_Classification_encoded,brand_encoded,Freight_Cost_USD_Clean
0.47525515116502987,-0.5,-0.2009987970692232,0.23763440860215052,0.7500000000000001,1,1,11,3,0,1,1,2,5018.69
0.04339174529815778,0.6666666666666666,0.023548281267087086,3.4096774193548387,1.5555555555555554,1,9,6,4,1,1,3,3,13093.27
-0.31144489376725076,0.0,-0.1943887532047777,0.009677419354838694,-0.027777777777777804,1,1,4,1,0,0,1,2,1567.51
-0.04955388664227486,0.0,-0.2015820362337331,-0.39032258064516123,-0.38888888888888895,1,1,10,3,0,0,1,2,11490.2
-0.3099043584312215,-0.5,-0.19030607905320843,-0.37741935483870964,-0.3055555555555556,1,1,10,3,1,1,2,2,1317.01
0.08832402593234483,3.0,0.006002503068081022,0.40698924731182784,-0.25,2,1,5,2,1,0,2,2,6708.25
0.05289171320367161,0.6666666666666666,0.20056136769584076,3.8397849462365587,1.777777777777778,1,9,16,4,1,1,3,3,13343.23
-0.2544450863341678,2.0,-0.1604150718720762,2.2268817204301072,0.3333333333333334,1,16,1,3,1,1,1,1,1167.97
1.6766159573785224,-0.5,4.28605450856025,-0.20806451612903223,0.0,4,3,8,1,1,1,1,2,20684.73
-0.1514859747095449,0.0,-0.001968432180220902,-0.33010752688172046,-0.3333333333333333,1,1,15,1,0,0,1,2,4311.22
0.010270235573528469,0.6666666666666666,-0.05538341899658562,4.323655913978494,2.0277777777777777,1,6,4,4,1,1,3,3,16002.97
0.3491880094999679,0.0,1.2306103354840277,-0.10591397849462364,-0.1388888888888889,1,3,10,1,1,1,1,2,21886.49
9.421914115155017,0.0,6.875839795876967,0.06612903225806453,0.0,3,1,4,1,1,0,1,2,16532.5
0.0002567558893382117,0.6666666666666666,-0.06976998505449641,4.323655913978494,2.0277777777777777,1,6,4,4,1,1,3,3,26380.35
0.029013415495217923,-0.9833333333333333,-0.09275932878892817,-0.1924731182795699,13.444444444444445,1,6,13,4,0,1,4,3,24410.67
-0.31375569677129467,-0.5,-0.19633288375314403,-0.001075268817204278,0.36111111111111105,1,1,9,1,1,1,1,2,2187.01
0.5728223891135503,0.0,1.521306455728502,-0.09838709677419355,-0.1388888888888889,1,4,11,1,1,1,1,2,10048.1
4.353552859618717,0.0,3.4366638719790035,0.06612903225806453,0.0,2,3,1,1,0,0,1,2,36194.84
1.2208742538031967,0.0,2.745039429397684,-0.3311827956989247,-0.3333333333333333,2,2,7,1,1,0,1,2,7423.38
-0.16098594261505872,0.0,0.008967302154339664,-0.031182795698924733,-0.08333333333333333,1,1,4,1,0,0,1,2,4099.51
2.532383336542782,0.0,1.8707153185336396,-0.07043010752688174,-0.11111111111111113,3,4,4,1,0,0,1,2,37242.5
0.4067013287117273,0.0,-0.13995309785052065,0.15430107526881714,0.08333333333333333,1,3,11,1,1,1,1,2,7474.2
-0.2924449579562231,0.6666666666666666,-0.20838649315301522,6.505565837209192,9.277777777777779,1,27,10,4,1,1,3,1,782.13
2.285897682778099,-0.5,6.875839795876967,-0.09247311827956987,0.19444444444444448,4,4,8,1,1,1,1,2,19569.93
0.14891841581616277,0.0,1.4460200002430164,-0.32526881720430106,-0.3333333333333333,1,1,8,1,1,1,1,2,1791.42
-0.2742152898132101,3.0,-0.18787591586775051,-0.09408602150537634,-0.36111111111111116,1,1,10,2,1,1,2,2,1773.7
-0.1276076770010912,0.6666666666666666,-0.1980826012466737,-0.1924731182795699,-0.3055555555555556,2,9,16,4,1,0,4,2,190.06
-0.2326208357404198,2.3333333333333335,-0.06393759340939745,-0.38602150537634405,-0.4166666666666667,1,1,15,2,1,0,2,2,1850.7
1.0778612234418128,-0.5,2.2204158009210317,0.17795698924731185,0.6666666666666667,2,4,5,1,1,0,1,2,27804.65
0.5017010077668657,0.0,0.11074253636131666,-0.33602150537634407,-0.3333333333333333,1,5,1,1,0,0,1,2,12648.38
-0.1799858784260864,1.0,-0.20683118871432216,1.7483870967741937,0.5000000000000001,1,8,12,1,1,0,1,6,2437.63
