Unit_of_Measure_(Per_Pack),Line_Item_Quantity,Pack_Price,Unit_Price,Weight_Kilograms_Clean,Shipment_mode,Manufacturing_site,Country,Fulfill_Via,Product_Group,Sub_Classification,Vendor,Brand,Dosage_Form,First_Line_Designation,Freight_Cost_USD_Clean
60.0,11022.0,2.58,0.04,6291.0,3.0,1.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,20265.0
60.0,145784.18484021962,2.44,0.04,11438.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4496.15
60.0,119098.0,11.22,0.19,15808.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11969.68
30.0,18273.0,4.62,0.15,2001.0,2.0,4.0,4.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,7842.4
240.0,412.0,13.6,0.06,7889.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,6406.53
60.0,1481.0,2.44,0.04,77.0,1.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,961.46
60.0,1082.0,5.75,0.1,2228.0,1.0,4.0,10.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,3565.08
20.0,50.0,27.0,1.35,13.0,1.0,20.0,18.0,1.0,1.0,2.0,18.0,9.0,1.0,0.0,581.1
100.0,5085.0,70.0,0.7,1154.0,1.0,6.0,7.0,1.0,1.0,2.0,4.0,4.0,1.0,0.0,46723.42
100.0,2874.0,89.0,0.89,1252.0,1.0,9.0,11.0,1.0,1.0,2.0,4.0,4.0,1.0,0.0,26380.35
60.0,102980.0,3.75,0.06,5687.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6010.2
270.0,977.0,78.64,0.29,490.0,1.0,17.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,1765.4
100.0,210.0,80.0,0.8,60.0,1.0,25.0,18.0,0.0,1.0,2.0,0.0,4.0,1.0,0.0,6012.0
60.0,92887.0,7.3,0.12,4810.0,2.0,1.0,13.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,6599.86
60.0,17240.0,7.65,0.13,1496.0,1.0,4.0,10.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2480.22
100.0,4309.0,80.0,0.8,2124.0,1.0,6.0,9.0,1.0,1.0,2.0,4.0,4.0,1.0,0.0,40520.83
30.0,570.0,13.25,0.44,87.0,1.0,1.0,7.0,1.0,0.0,1.0,6.0,0.0,2.0,1.0,255.0
60.0,2532.0,6.6,0.11,331.0,1.0,0.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4218.74
30.0,26060.0,8.97,0.3,2409.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9346.8
200.0,6551.0,1.34,0.01,3093.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,11235.05
60.0,6246.0,7.0,0.12,18808.0,3.0,1.0,19.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,123945.0
60.0,649.0,2.33,0.04,1787.0,1.0,4.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18046.12
60.0,5310.0,16.44,0.27,6587.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8953.2
1.0,3510.0,23.0,11.761991170924096,2535.0,1.0,7.0,8.0,1.0,1.0,2.0,5.0,5.0,1.0,0.0,20083.74
30.0,122449.0,9.6,0.32,46946.48571682304,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,68874.85
30.0,27769.0,4.22,0.14,2996.0,1.0,4.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9639.1
100.0,60.0,129.58352457209097,1.39,353.0,1.0,3.0,7.0,0.0,1.0,2.0,0.0,3.0,1.0,0.0,3684.6
60.0,6141.0,7.0,0.12,741.0,1.0,10.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3810.39
30.0,6714.0,5.78,0.19,574.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5837.94
60.0,360.0,7.71,0.13,46.0,1.0,13.0,4.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,984.39
100.0,1174.0,70.0,0.7,275.0,1.0,6.0,0.0,1.0,1.0,2.0,4.0,4.0,1.0,0.0,4015.0
30.0,32660.0,5.78,0.19,2804.0,0.0,1.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5050.8
60.0,6384.0,7.3,0.12,331.0,2.0,1.0,13.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,5766.83
30.0,60.0,18.34,0.61,3000.0,1.0,26.0,14.0,1.0,0.0,1.0,24.0,3.0,2.0,0.0,428.91
30.0,24192.0,10.5,0.35,3385.0,1.0,4.0,10.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,8764.53
100.0,12.0,99.99,1.0,19.0,1.0,6.0,17.0,0.0,1.0,2.0,0.0,4.0,1.0,1.0,851.24
30.0,2865.0,11.49,0.38,332.0,1.0,0.0,10.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,6973.87
60.0,61021.0,11.89,0.2,6768.0,1.0,1.0,7.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,38120.96
36.0,80.0,85.0,2.36,33.0,1.0,5.0,17.0,1.0,1.0,2.0,4.0,3.0,1.0,0.0,812.0
60.0,9789.0,6.75,0.11,1585.0,1.0,0.0,10.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,2965.32
60.0,15360.0,7.4,0.12,1360.0,1.0,10.0,10.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,5412.14
30.0,83.0,3.64,0.12,6242.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,17129.96
60.0,300.0,2.42,0.04,1624.0,1.0,4.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,15446.4
60.0,145784.18484021962,8.11,0.14,27094.0,3.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,70210.0
60.0,24345.0,9.45,0.16,4639.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,47525.69
100.0,2835.0,89.0,0.89,1352.0,1.0,9.0,11.0,1.0,1.0,2.0,4.0,4.0,1.0,0.0,30726.22
30.0,2445.0,3.81,0.13,244.0,1.0,1.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2159.1
60.0,71030.0,5.38,0.09,21063.0,0.0,12.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,29250.68
20.0,728.0,32.0,1.6,238.0,1.0,3.0,22.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2789.67
240.0,2848.0,1.95,0.01,1066.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10794.84
300.0,147.0,41.1,0.14,547.0,1.0,14.0,6.0,0.0,0.0,0.0,0.0,8.0,3.0,1.0,2094.0
60.0,88208.0,2.42,0.04,43571.0,3.0,12.0,19.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,67732.54
120.0,4000.0,41.1,0.34,1015.0,1.0,13.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,3256.0
30.0,1.0,2.0,0.07,63.0,1.0,10.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,598.08
60.0,800.0,8.26,0.14,758.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,20499.33
20.0,90.0,32.0,1.6,54.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2734.02
60.0,1800.0,2.51,0.04,5256.0,1.0,12.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9506.0
20.0,53.0,32.0,1.6,18.0,1.0,3.0,16.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,569.11
60.0,4776.0,35.8,0.6,1422.0,1.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4198.0
30.0,3000.0,11.75,0.39,270.0,3.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6147.18
240.0,4810.0,1.85,0.01,7755.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,74839.9
100.0,60.0,129.58352457209097,3.5,144.0,1.0,11.0,4.0,1.0,1.0,2.0,9.0,3.0,1.0,0.0,4185.29
60.0,33696.0,8.29,0.14,4262.0,1.0,27.0,22.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,27262.44
240.0,7483.0,2.02,0.01,7889.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,6406.53
30.0,7363.0,3.33,0.11,19158.0,1.0,12.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,106022.37
60.0,20000.0,11.19,0.19,2039.0,1.0,0.0,6.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,9182.45
60.0,1135.0,5.58,0.09,282.0,1.0,1.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5380.36
240.0,6000.0,1.92,0.01,5317.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,11005.67
20.0,3.0,32.0,1.6,0.0,1.0,3.0,6.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,1002.35
25.0,3.0,75.0,3.0,3.0,1.0,5.0,22.0,1.0,1.0,2.0,25.0,3.0,1.0,0.0,963.34
120.0,144.0,75.0,0.62,47.0,1.0,5.0,14.0,1.0,0.0,1.0,12.0,3.0,0.0,0.0,449.0
30.0,25945.0,3.19,0.11,1638.0,1.0,12.0,19.0,1.0,0.0,1.0,13.0,0.0,0.0,0.0,18141.62
100.0,5905.0,89.0,0.89,2402.0,1.0,9.0,11.0,1.0,1.0,2.0,4.0,4.0,1.0,0.0,35747.28
30.0,41416.0,3.21,0.11,7521.0,0.0,12.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8265.26
240.0,55.0,12.5,0.05,171.0,1.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2522.76
120.0,965.0,29.68,0.25,3991.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,13380.52
100.0,6875.0,79.99,0.8,1566.0,1.0,6.0,11.0,1.0,1.0,2.0,4.0,4.0,1.0,0.0,19992.75
60.0,27440.0,8.76,0.15,2475.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4964.27
30.0,961.0,1.25,0.04,53.0,1.0,1.0,14.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,1203.4
60.0,50000.0,2.6,0.04,2504.0,1.0,0.0,8.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,7354.24
60.0,6139.0,11.22,0.19,1518.0,0.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6561.51
30.0,1596.0,2.24,0.07,5997.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,8379.98
20.0,13300.0,32.0,1.6,4472.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,23408.33
100.0,3.0,80.0,0.8,1411.0,1.0,6.0,12.0,1.0,1.0,2.0,4.0,4.0,1.0,0.0,13150.21
60.0,5000.0,7.9,0.13,229.0,1.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1774.3
60.0,66023.0,3.73,0.06,5780.0,0.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15789.2
100.0,3076.0,89.0,0.89,1249.0,1.0,9.0,11.0,1.0,1.0,2.0,4.0,4.0,1.0,0.0,21084.84
