,Country,Fulfill_Via,Shipment_Mode,Sub_Classification,Dosage_Form,Line_Item_Quantity,Line_Item_Value,Line_Item_Insurance_(USD),Freight_Cost_USD_Clean,Weight_Kilograms_Clean
1769,0,1,0,2,2,10000.0,77100.0,151.12,9936.96,3337.0
1770,0,1,0,2,2,15000.0,173400.0,339.86,9936.96,3337.0
1771,2,1,2,2,2,1140.0,3306.0,6.48,7329.83,1165.0
1772,2,1,0,2,2,1747.0,15303.72,30.0,1012.18,148.0
1773,2,1,2,2,2,3235.0,23033.2,45.15,7329.83,1984.0
1774,6,1,0,1,3,1428.0,3198.72,6.27,7789.85,83.0
1775,2,1,2,2,2,24269.0,637061.25,1248.64,7329.83,2094.0
1776,14,1,0,2,2,10372.0,119900.32,235.0,14569.14,1312.0
1777,2,1,2,2,2,27314.0,716992.5,1405.31,7329.83,2363.0
1778,4,1,1,2,2,92000.0,1058000.0,1825.8853909196707,6759.28,7579.0
1779,12,1,1,2,2,23100.0,87780.0,172.05,2400.25,2078.0
1780,2,1,2,2,2,5800.0,66120.0,129.6,7445.8,654.0
1781,2,1,2,2,2,22730.0,596662.5,1169.46,7445.8,1977.0
1782,0,1,2,2,2,3280.0,31881.6,62.49,1854.88,229.0
1783,2,1,2,2,2,5794.0,68079.5,133.44,7445.71,1225.0
1784,6,1,0,1,3,525.0,6683.25,13.1,6811.4,78.0
1785,12,1,1,2,2,76000.0,541120.0,1060.6,1799.88,5597.0
1786,5,1,0,2,2,8766.0,21389.04,41.92,4257.01,447.0
1787,14,1,0,2,2,1650.0,4785.0,9.38,4999.48,847.0
1788,14,1,0,2,2,24000.0,210240.0,412.07,38957.51,5748.0
1789,14,1,0,2,2,34000.0,385900.0,756.36,38957.51,5748.0
1790,0,1,0,2,2,28170.0,319729.5,626.67,9797.41,3426.0
1791,4,1,1,2,2,92000.0,1058000.0,1825.8853909196707,6759.28,7678.0
1792,4,1,1,2,2,92095.0,1059092.5,1825.8853909196707,6759.28,7686.0
1793,9,1,1,2,2,4000.0,16000.0,31.36,14958.2,9020.0
1794,4,1,1,2,2,15718.0,47154.0,92.42,16339.98,13680.0
1795,0,1,0,2,2,666.0,7825.5,15.34,1713.01,54.0
1796,3,1,1,2,2,9243.0,235234.35,461.06,2233.61,936.0
1797,4,1,1,2,2,61520.0,438022.4,858.52,13518.56,23888.0
1798,2,1,2,2,2,40230.0,458622.0,898.9,30983.24,4531.0
1799,2,1,2,2,2,1756.0,20018.4,39.24,9341.49,198.0
1800,0,1,0,1,1,1547.0,2970.24,5.82,1234.9,581.0
1801,12,1,1,2,2,2592.0,6324.48,12.4,1588.06,979.0
1802,7,1,0,2,2,4234.0,10330.96,20.25,1489.4,212.0
1803,4,1,0,2,2,13941.0,80578.98,173.73,5097.09,986.0
1804,14,1,0,2,2,60.0,240.0,0.52,396.08,4.0
1805,7,1,0,2,2,4460.0,12934.0,27.89,1366.22,250.0
1806,9,1,0,2,2,7000.0,113750.0,69.86500000000001,1886.21,581.0
1807,2,1,0,1,1,1200.0,2580.0,69.86500000000001,4535.0,1178.0
1808,5,1,0,0,0,500.0,16000.0,69.86500000000001,3684.6,353.0
1809,12,1,0,1,1,650.0,2567.5,69.86500000000001,478.51,193.0
1810,11,1,0,0,0,500.0,16000.0,69.86500000000001,1225.37,164.0
1811,0,1,0,2,2,8148.0,132405.0,69.86500000000001,2658.0,742.0
1812,0,1,0,2,2,2100.0,75180.0,120.29,1619.0,235.0
1813,2,1,0,2,2,538.0,1920.66,3.07,8331.36,1656.0
1814,4,1,0,1,1,192.0,4128.0,69.86500000000001,650.12,70.0
1815,5,1,0,2,2,3431.0,11356.61,69.86500000000001,2520.47,216.0
1816,12,1,0,2,2,1171.0,81970.0,69.86500000000001,630.23,333.0
1817,2,1,0,1,1,278.0,1098.1,1.76,8331.36,1656.0
1818,12,1,0,1,3,1844.0,6306.48,69.86500000000001,8892.48,3946.0
1819,7,1,0,0,0,200.0,6400.0,69.86500000000001,2129.46,213.0
1820,0,1,0,2,2,4374.0,37266.48,69.86500000000001,1432.0,230.0
1821,3,1,0,2,2,4776.0,170980.8,273.57,4198.0,1422.0
1822,0,1,0,2,2,5344.0,86893.44,139.03,7947.0,3073.0
1823,4,1,0,1,1,350.0,7525.0,12.04,874.57,124.0
1824,4,1,0,2,2,48348.0,786138.48,1257.82,37695.46,9182.0
1825,12,1,0,1,1,7750.0,30612.5,48.98,3438.84,3340.0
1826,3,1,0,2,2,11807.0,42150.99,67.44,3291.0,1050.0
1827,0,1,0,2,2,23472.0,176040.0,281.66,6889.0,2270.0
1828,0,1,0,2,2,55032.0,110064.0,176.1,12438.0,3673.0
1829,3,1,0,2,3,157.0,6022.52,9.64,9689.0,3369.0
1830,12,1,0,1,1,2744.0,6695.36,10.71,9869.55,9006.0
1831,12,1,0,1,1,2185.0,8630.75,13.81,9869.55,9006.0
1832,0,1,0,1,3,738.0,2560.86,4.1,1786.0,285.0
1833,12,1,0,0,0,2500.0,80000.0,128.0,3818.4,841.0
1834,4,1,0,2,2,30000.0,91200.0,145.92,5663.0,1581.0
1835,3,1,0,1,3,1987.0,64418.54,103.07,2465.0,238.0
1836,4,1,0,2,2,12420.0,101223.0,161.96,63886.29,14311.0
1837,4,1,0,2,2,16974.0,125607.6,200.97,7927.55,1732.0
1838,4,1,0,1,3,604.0,9664.0,15.46,723.59,72.0
1839,0,1,0,1,2,1696.0,13144.0,21.03,7629.94,1286.0
1840,9,1,1,0,0,2492.0,49840.0,79.74,3085.84,738.0
1841,0,1,0,2,2,5794.0,47221.1,75.55,13721.28,3023.0
1842,4,1,0,2,3,1381.0,2416.75,3.87,1320.08,232.0
1843,4,1,0,2,2,11254.0,182990.04,292.78,19590.04,5989.0
1844,2,1,0,2,2,1200.0,14904.0,23.85,1616.04,118.0
1845,12,1,0,0,0,5000.0,160000.0,256.0,10698.63,2766.0
1846,2,1,0,2,2,1246.0,9345.0,14.95,5180.0,962.0
1847,0,1,0,2,3,23.0,1808.72,2.89,10137.04,2143.0
1848,4,1,0,2,2,25338.0,314697.96,503.52,7836.6,1974.0
1849,12,1,0,2,2,7128.0,67716.0,108.35,8405.91,3584.0
1850,0,1,0,1,2,7744.0,297059.84,475.3,25563.0,9248.0
1851,0,1,0,2,2,34020.0,422528.4,676.05,25563.0,9248.0
1852,7,1,0,2,2,3145.0,9560.8,15.3,810.86,162.0
1853,14,1,0,2,2,140.0,1141.0,1.83,3393.0,464.0
1854,0,1,0,2,3,6200.0,10850.0,17.36,4147.9,354.0
1855,4,1,0,2,2,12240.0,503064.0,804.9,9736.5,2662.0
1856,4,1,0,1,1,746.0,30660.6,49.06,1566.21,88.0
1857,6,1,0,2,2,42000.0,142800.0,228.48,32483.5,3957.0
1858,4,1,1,2,2,77724.0,264261.6,422.82,24405.0,8554.0
1859,7,1,0,2,2,12745.0,43333.0,69.33,8332.0,1197.0
1860,2,1,0,2,2,4836.0,99138.0,158.62,3228.0,531.0
1861,0,1,0,2,2,2121.0,87173.1,139.48,2206.0,465.0
1862,7,1,0,2,2,67624.0,839890.08,1343.82,20222.4,5840.0
1863,12,1,0,2,2,42700.0,576450.0,922.32,8118.64,5092.0
1864,5,1,0,1,1,2000.0,3940.0,6.3,5531.4,859.0
1865,4,1,0,2,2,58680.0,199512.0,319.22,15245.25,5557.0
1866,4,1,0,2,2,14465.0,179655.3,287.45,4428.75,1135.0
1867,0,1,0,1,1,15000.0,29550.0,47.28,30167.0,10877.0
1868,5,1,0,0,0,2093.0,150675.07,241.08,12977.28,609.0
1869,5,1,0,3,4,1250.0,12.5,0.02,8143.19,362.0
1870,6,1,0,2,3,100.0,175.0,0.28,38515.8,4213.0
1871,2,1,0,1,1,4.0,10.36,0.02,2047.0,272.0
1872,7,1,0,1,1,3326.0,7150.9,11.44,4485.25,1225.0
